p	rho	label	x	y	color	patient
1.25e-02	0.371	p=1.25e-02, rho=0.371	20	1.31475765742232	purple4	P450
5.14e-01	0.236	p=5.14e-01, rho=0.236	20	1.40240816791715	darkmagenta	P302
6.08e-01	0.188	p=6.08e-01, rho=0.188	20	1.49005867841197	darkorchid1	P300
8.40e-02	-0.333	p=8.40e-02, rho=-0.333	20	1.57770918890679	red3	P454
7.97e-02	0.392	p=7.97e-02, rho=0.392	20	1.66535969940161	firebrick4	P413
4.70e-01	-0.166	p=4.70e-01, rho=-0.166	20	1.75301020989643	darkolivegreen4	P453
6.56e-01	-0.068	p=6.56e-01, rho=-0.068	20	1.84066072039126	darkgreen	P375
4.29e-01	0.136	p=4.29e-01, rho=0.136	20	1.92831123088608	mediumseagreen	P327
2.09e-01	-0.286	p=2.09e-01, rho=-0.286	20	2.0159617413809	chartreuse	P303
4.97e-01	-0.371	p=4.97e-01, rho=-0.371	20	2.10361225187572	blue	P41
