p	rho	label	x	y	color	patient
6.40e-01	-0.071	p=6.40e-01, rho=-0.071	20	1.17535597074195	purple4	P450
3.49e-01	0.333	p=3.49e-01, rho=0.333	20	1.25371303545808	darkmagenta	P302
5.37e-01	0.224	p=5.37e-01, rho=0.224	20	1.33207010017421	darkorchid1	P300
3.96e-01	0.166	p=3.96e-01, rho=0.166	20	1.41042716489034	red3	P454
2.82e-01	0.245	p=2.82e-01, rho=0.245	20	1.48878422960647	firebrick4	P413
7.71e-01	-0.068	p=7.71e-01, rho=-0.068	20	1.5671412943226	darkolivegreen4	P453
2.00e-01	0.194	p=2.00e-01, rho=0.194	20	1.64549835903873	darkgreen	P375
1.00e-01	0.279	p=1.00e-01, rho=0.279	20	1.72385542375486	mediumseagreen	P327
1.78e-01	0.305	p=1.78e-01, rho=0.305	20	1.80221248847099	chartreuse	P303
9.19e-01	-0.086	p=9.19e-01, rho=-0.086	20	1.88056955318712	blue	P41
