p	rho	label	x	y	color	patient
3.49e-01	0.143	p=3.49e-01, rho=0.143	20	0.829460136374855	purple4	P450
5.84e-01	-0.2	p=5.84e-01, rho=-0.2	20	0.884757478799845	darkmagenta	P302
8.02e-02	-0.588	p=8.02e-02, rho=-0.588	20	0.940054821224835	darkorchid1	P300
9.72e-01	0.007	p=9.72e-01, rho=0.007	20	0.995352163649825	red3	P454
7.35e-02	0.4	p=7.35e-02, rho=0.4	20	1.05064950607482	firebrick4	P413
5.39e-01	-0.142	p=5.39e-01, rho=-0.142	20	1.10594684849981	darkolivegreen4	P453
7.87e-01	-0.041	p=7.87e-01, rho=-0.041	20	1.1612441909248	darkgreen	P375
4.09e-01	0.142	p=4.09e-01, rho=0.142	20	1.21654153334979	mediumseagreen	P327
3.29e-01	0.223	p=3.29e-01, rho=0.223	20	1.27183887577478	chartreuse	P303
5.64e-01	0.314	p=5.64e-01, rho=0.314	20	1.32713621819977	blue	P41
